Attrition;Age;BusinessTravel;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;NumCompaniesWorked;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StandardHours;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager
FALSE;35;Travel_Rarely;Research & Development;16;3;Medical;1;Male;4;1;Laboratory Technician;2;Married;2426;0;0;13;3;3;80;1;6;5;3;5;4;0;3
FALSE;29;Travel_Rarely;Research & Development;15;2;Life Sciences;4;Female;2;2;Laboratory Technician;3;Single;4193;0;1;12;3;4;80;0;10;3;3;9;5;0;8
FALSE;31;Travel_Rarely;Research & Development;26;1;Life Sciences;1;Male;3;1;Research Scientist;3;Divorced;2911;1;0;17;3;4;80;1;5;1;2;5;2;4;3
FALSE;34;Travel_Rarely;Research & Development;19;2;Medical;2;Male;3;1;Laboratory Technician;4;Divorced;2661;0;0;11;3;3;80;1;3;2;3;2;2;1;2
TRUE;28;Travel_Rarely;Research & Development;24;3;Life Sciences;3;Male;2;1;Laboratory Technician;3;Single;2028;5;1;14;3;2;80;0;6;4;3;4;2;0;3
FALSE;29;Travel_Rarely;Research & Development;21;4;Life Sciences;2;Female;4;3;Manufacturing Director;1;Divorced;9980;1;0;11;3;3;80;1;10;1;3;10;9;8;8
FALSE;32;Travel_Rarely;Research & Development;5;2;Life Sciences;1;Male;4;1;Research Scientist;2;Divorced;3298;0;1;12;3;4;80;1;7;5;2;6;2;0;5
FALSE;22;Non-Travel;Research & Development;16;2;Medical;4;Male;4;1;Laboratory Technician;4;Divorced;2935;1;1;13;3;2;80;1;1;2;2;1;0;0;0
FALSE;53;Travel_Rarely;Sales;2;4;Life Sciences;1;Female;2;4;Manager;4;Married;15427;2;0;16;3;3;80;0;31;3;3;25;8;3;7
FALSE;38;Travel_Rarely;Research & Development;2;3;Life Sciences;4;Male;3;1;Research Scientist;4;Single;3944;5;1;11;3;3;80;0;6;3;3;3;2;1;2
FALSE;24;Non-Travel;Research & Development;11;2;Other;1;Female;4;2;Manufacturing Director;3;Divorced;4011;0;0;18;3;4;80;1;5;5;2;4;2;1;3
TRUE;36;Travel_Rarely;Sales;9;4;Life Sciences;3;Male;2;1;Sales Representative;1;Single;3407;7;0;23;4;2;80;0;10;4;3;5;3;0;3
FALSE;34;Travel_Rarely;Research & Development;7;4;Life Sciences;1;Female;3;3;Research Director;2;Single;11994;0;0;11;3;3;80;0;13;4;3;12;6;2;11
FALSE;21;Travel_Rarely;Research & Development;15;2;Life Sciences;3;Male;3;1;Research Scientist;4;Single;1232;1;0;14;3;4;80;0;0;6;3;0;0;0;0
TRUE;34;Travel_Rarely;Research & Development;6;1;Medical;2;Male;3;1;Research Scientist;1;Single;2960;2;0;11;3;3;80;0;8;2;3;4;2;1;3
FALSE;53;Travel_Rarely;Research & Development;5;3;Other;3;Female;3;5;Manager;3;Divorced;19094;4;0;11;3;4;80;1;26;3;2;14;13;4;8
TRUE;32;Travel_Frequently;Research & Development;16;1;Life Sciences;2;Female;1;1;Research Scientist;1;Single;3919;1;1;22;4;2;80;0;10;5;3;10;2;6;7
FALSE;42;Travel_Rarely;Sales;8;4;Marketing;3;Male;3;2;Sales Executive;2;Married;6825;0;0;11;3;4;80;1;10;2;3;9;7;4;2
FALSE;44;Travel_Rarely;Research & Development;7;4;Medical;1;Female;2;3;Healthcare Representative;4;Married;10248;3;0;14;3;4;80;1;24;4;3;22;6;5;17
FALSE;46;Travel_Rarely;Sales;2;4;Marketing;2;Female;3;5;Manager;1;Single;18947;3;0;12;3;4;80;0;22;2;2;2;2;2;1
FALSE;33;Travel_Rarely;Research & Development;2;3;Medical;3;Male;3;1;Laboratory Technician;4;Single;2496;4;0;11;3;4;80;0;7;3;3;1;1;0;0
FALSE;44;Travel_Rarely;Research & Development;10;4;Other;4;Male;3;2;Healthcare Representative;4;Married;6465;2;1;13;3;4;80;0;9;5;4;4;2;1;3
FALSE;30;Travel_Rarely;Research & Development;9;2;Medical;4;Male;2;1;Laboratory Technician;3;Single;2206;1;0;13;3;1;80;0;10;5;3;10;0;1;8
TRUE;39;Travel_Rarely;Sales;5;3;Technical Degree;4;Male;3;2;Sales Representative;4;Married;2086;3;0;14;3;3;80;1;19;6;4;1;0;0;0
TRUE;24;Travel_Rarely;Research & Development;1;3;Medical;2;Male;3;1;Research Scientist;4;Married;2293;2;1;16;3;1;80;1;6;2;2;2;0;2;0
FALSE;43;Travel_Rarely;Research & Development;2;2;Medical;4;Female;4;1;Research Scientist;3;Divorced;2645;1;0;12;3;4;80;1;6;3;2;5;3;1;4
TRUE;50;Travel_Rarely;Sales;3;2;Marketing;1;Male;2;1;Sales Representative;3;Married;2683;1;1;14;3;3;80;0;3;2;3;3;2;0;2
FALSE;35;Travel_Rarely;Sales;2;3;Marketing;4;Female;3;1;Sales Representative;4;Married;2014;1;0;13;3;1;80;0;2;3;3;2;2;2;2
FALSE;36;Travel_Rarely;Research & Development;5;4;Life Sciences;2;Female;2;1;Research Scientist;1;Married;3419;9;1;14;3;4;80;1;6;3;4;1;1;0;0
FALSE;33;Travel_Frequently;Sales;1;3;Life Sciences;3;Female;4;2;Sales Executive;1;Married;5376;2;0;19;3;1;80;1;10;3;3;5;3;1;3
FALSE;35;Travel_Rarely;Research & Development;4;2;Other;3;Male;3;1;Laboratory Technician;4;Divorced;1951;1;0;12;3;3;80;1;1;3;3;1;0;0;0
FALSE;27;Travel_Rarely;Research & Development;2;4;Life Sciences;4;Female;3;1;Laboratory Technician;1;Divorced;2341;1;0;13;3;4;80;1;1;6;3;1;0;0;0
TRUE;26;Travel_Rarely;Research & Development;25;3;Life Sciences;1;Male;1;1;Laboratory Technician;3;Single;2293;1;0;12;3;3;80;0;1;2;2;1;0;0;1
FALSE;27;Travel_Frequently;Sales;8;3;Life Sciences;4;Male;3;3;Sales Executive;3;Single;8726;1;0;15;3;4;80;0;9;0;3;9;8;1;7
FALSE;30;Travel_Frequently;Research & Development;1;2;Medical;3;Female;3;2;Laboratory Technician;4;Single;4011;1;0;23;4;4;80;0;12;2;3;12;8;3;7
TRUE;41;Travel_Rarely;Research & Development;12;3;Technical Degree;2;Female;3;5;Research Director;3;Married;19545;1;0;12;3;4;80;0;23;0;3;22;15;15;8
FALSE;34;Non-Travel;Sales;23;4;Marketing;2;Male;3;2;Sales Executive;3;Single;4568;0;0;20;4;3;80;0;10;2;3;9;5;8;7
FALSE;37;Travel_Rarely;Research & Development;19;2;Life Sciences;2;Male;3;1;Research Scientist;2;Married;3022;4;0;21;4;1;80;0;8;1;3;1;0;0;0
FALSE;46;Travel_Frequently;Sales;5;4;Marketing;1;Male;3;2;Sales Executive;4;Single;5772;4;1;21;4;3;80;0;14;4;3;9;6;0;8
FALSE;35;Travel_Rarely;Research & Development;8;1;Life Sciences;4;Male;4;1;Laboratory Technician;4;Married;2269;1;0;19;3;4;80;0;1;2;3;1;0;0;1
TRUE;48;Travel_Rarely;Research & Development;1;2;Life Sciences;1;Male;2;3;Laboratory Technician;3;Single;5381;9;1;13;3;4;80;0;23;2;3;1;0;0;0
TRUE;28;Travel_Rarely;Research & Development;5;4;Technical Degree;3;Male;3;1;Laboratory Technician;3;Single;3441;1;1;13;3;3;80;0;2;3;2;2;2;2;2
FALSE;44;Travel_Rarely;Sales;1;5;Marketing;2;Female;3;2;Sales Executive;1;Divorced;5454;5;1;21;4;3;80;1;9;2;2;4;3;1;3
FALSE;35;Non-Travel;Research & Development;11;2;Medical;3;Male;2;3;Healthcare Representative;1;Married;9884;2;1;13;3;3;80;1;10;3;3;4;0;2;3
FALSE;26;Travel_Rarely;Sales;23;3;Marketing;3;Female;2;2;Sales Executive;4;Married;4157;7;1;19;3;3;80;1;5;2;2;2;2;0;0
FALSE;33;Travel_Frequently;Research & Development;1;2;Life Sciences;1;Female;3;3;Research Director;4;Single;13458;1;1;12;3;3;80;0;15;1;3;15;14;8;12
FALSE;35;Travel_Frequently;Sales;18;5;Life Sciences;2;Male;3;3;Sales Executive;1;Married;9069;1;0;22;4;4;80;1;9;3;2;9;8;1;8
FALSE;35;Travel_Rarely;Research & Development;23;4;Medical;3;Female;3;1;Laboratory Technician;1;Married;4014;3;1;15;3;3;80;1;4;3;3;2;2;2;2
FALSE;31;Travel_Rarely;Research & Development;7;4;Life Sciences;4;Male;3;2;Laboratory Technician;4;Divorced;5915;3;0;22;4;4;80;1;10;3;2;7;7;1;7
FALSE;37;Travel_Rarely;Research & Development;1;4;Life Sciences;1;Male;2;2;Manufacturing Director;3;Divorced;5993;1;0;18;3;3;80;1;7;2;4;7;5;0;7
FALSE;32;Travel_Rarely;Research & Development;1;3;Medical;1;Male;3;2;Manufacturing Director;4;Married;6162;1;1;22;4;2;80;1;9;3;3;9;8;7;8
FALSE;38;Travel_Frequently;Research & Development;29;5;Life Sciences;4;Female;3;2;Laboratory Technician;4;Single;2406;1;0;11;3;4;80;0;10;2;3;10;3;9;9
FALSE;50;Travel_Rarely;Research & Development;7;2;Medical;2;Female;2;5;Research Director;3;Divorced;18740;5;1;12;3;4;80;1;29;2;2;27;3;13;8
FALSE;59;Travel_Rarely;Sales;25;3;Life Sciences;1;Female;3;3;Sales Executive;1;Single;7637;7;0;11;3;4;80;0;28;3;2;21;16;7;9
FALSE;36;Travel_Rarely;Research & Development;8;3;Technical Degree;3;Female;3;3;Healthcare Representative;3;Divorced;10096;1;0;13;3;2;80;1;17;2;3;17;14;12;8
FALSE;55;Travel_Rarely;Research & Development;8;3;Medical;4;Female;3;4;Manager;3;Divorced;14756;2;1;14;3;3;80;1;21;2;3;5;0;0;2
FALSE;36;Travel_Frequently;Research & Development;11;3;Life Sciences;2;Male;2;2;Manufacturing Director;2;Single;6499;1;0;13;3;3;80;0;6;3;3;6;5;0;3
FALSE;45;Travel_Rarely;Research & Development;7;3;Life Sciences;2;Male;3;3;Research Scientist;1;Divorced;9724;2;0;17;3;3;80;1;25;2;3;1;0;0;0
FALSE;35;Travel_Frequently;Research & Development;1;3;Medical;2;Male;3;1;Research Scientist;1;Married;2194;4;0;13;3;4;80;1;5;2;2;3;2;1;2
TRUE;36;Travel_Rarely;Research & Development;9;3;Medical;4;Male;2;1;Research Scientist;3;Married;3388;0;1;17;3;1;80;1;2;0;2;1;0;0;0
FALSE;59;Travel_Frequently;Sales;1;1;Life Sciences;1;Female;2;2;Sales Executive;3;Single;5473;7;0;11;3;4;80;0;20;2;2;4;3;1;3
FALSE;29;Travel_Rarely;Research & Development;2;3;Life Sciences;3;Male;3;1;Research Scientist;2;Married;2703;0;0;23;4;4;80;1;6;3;3;5;4;0;4
FALSE;31;Travel_Rarely;Research & Development;1;4;Medical;3;Male;3;1;Research Scientist;2;Single;2501;1;0;17;3;2;80;0;1;4;3;1;1;1;0
FALSE;32;Travel_Rarely;Research & Development;1;3;Life Sciences;2;Male;3;2;Research Scientist;2;Married;6220;1;0;17;3;2;80;1;10;3;3;10;4;0;9
FALSE;36;Travel_Rarely;Research & Development;6;3;Life Sciences;2;Female;4;1;Laboratory Technician;4;Married;3038;3;0;12;3;2;80;0;5;3;3;1;0;0;0
FALSE;31;Travel_Rarely;Research & Development;8;4;Life Sciences;3;Female;3;2;Manufacturing Director;4;Single;4424;1;0;23;4;4;80;0;11;2;3;11;7;1;8
FALSE;35;Travel_Rarely;Sales;1;4;Marketing;3;Male;2;2;Sales Executive;1;Single;4312;0;0;14;3;2;80;0;16;2;3;15;13;2;8
FALSE;45;Travel_Rarely;Research & Development;6;4;Other;4;Male;3;3;Research Director;1;Married;13245;4;1;14;3;2;80;0;17;3;4;0;0;0;0
FALSE;37;Travel_Rarely;Research & Development;7;4;Medical;1;Male;3;3;Research Director;3;Single;13664;4;0;13;3;1;80;0;16;3;4;5;2;0;2
FALSE;46;Travel_Rarely;Human Resources;5;2;Medical;2;Male;3;2;Human Resources;2;Divorced;5021;8;1;22;4;4;80;1;16;2;3;4;2;0;2
FALSE;30;Travel_Rarely;Research & Development;1;1;Life Sciences;4;Male;2;2;Laboratory Technician;4;Married;5126;1;1;12;3;3;80;1;10;1;2;10;8;3;0
FALSE;35;Travel_Rarely;Research & Development;1;3;Medical;2;Male;2;1;Research Scientist;3;Single;2859;1;0;18;3;1;80;0;6;3;3;6;4;0;4
FALSE;55;Travel_Rarely;Sales;1;2;Life Sciences;1;Male;3;3;Sales Executive;4;Married;10239;3;0;14;3;4;80;1;24;4;3;1;0;1;0
FALSE;38;Non-Travel;Research & Development;6;3;Medical;2;Female;1;2;Research Scientist;4;Divorced;5329;7;1;12;3;4;80;1;17;3;3;13;11;1;9
FALSE;34;Travel_Rarely;Research & Development;1;2;Medical;1;Male;3;2;Manufacturing Director;2;Married;4325;1;0;15;3;3;80;0;5;2;3;5;2;1;3
FALSE;56;Travel_Rarely;Research & Development;7;3;Life Sciences;4;Male;1;3;Manufacturing Director;4;Single;7260;4;0;11;3;1;80;0;37;3;2;6;4;0;2
FALSE;23;Travel_Rarely;Sales;2;1;Technical Degree;3;Male;3;1;Sales Representative;1;Divorced;2322;3;0;13;3;3;80;1;3;3;3;0;0;0;0
FALSE;51;Travel_Rarely;Research & Development;9;4;Life Sciences;4;Male;3;1;Laboratory Technician;4;Married;2075;3;0;23;4;2;80;1;10;4;3;4;2;0;3
FALSE;30;Travel_Rarely;Research & Development;2;3;Life Sciences;3;Male;2;2;Healthcare Representative;4;Married;4152;1;0;19;3;1;80;1;11;3;3;11;10;10;8
TRUE;46;Travel_Rarely;Sales;9;2;Medical;3;Male;2;3;Sales Executive;4;Single;9619;1;0;16;3;4;80;0;9;3;3;9;8;4;7
FALSE;40;Travel_Frequently;Research & Development;1;4;Life Sciences;3;Male;2;4;Healthcare Representative;2;Married;13503;1;0;22;4;4;80;1;22;3;2;22;3;11;11
FALSE;51;Travel_Rarely;Sales;21;4;Marketing;3;Male;3;2;Sales Executive;4;Single;5441;0;1;22;4;4;80;0;11;2;1;10;7;1;0
FALSE;30;Travel_Rarely;Sales;4;2;Medical;3;Female;2;2;Sales Executive;2;Divorced;5209;1;1;12;3;2;80;1;11;4;2;11;8;2;7
FALSE;46;Travel_Frequently;Research & Development;1;3;Medical;3;Male;2;3;Healthcare Representative;1;Married;10673;2;1;13;3;3;80;1;21;5;2;10;9;9;5
FALSE;32;Travel_Rarely;Sales;6;4;Medical;2;Male;3;2;Sales Executive;3;Single;5010;1;0;16;3;1;80;0;12;0;3;11;8;5;7
FALSE;54;Travel_Rarely;Research & Development;2;4;Technical Degree;1;Female;3;3;Research Director;3;Married;13549;9;0;12;3;1;80;1;16;5;1;4;3;0;3
FALSE;24;Travel_Rarely;Sales;3;2;Other;1;Female;3;2;Sales Executive;3;Married;4999;0;0;21;4;1;80;1;4;2;2;3;2;0;2
FALSE;28;Non-Travel;Sales;4;3;Medical;2;Male;3;2;Sales Executive;3;Married;4221;1;0;15;3;2;80;0;5;3;4;5;4;0;4
FALSE;58;Travel_Rarely;Sales;10;4;Medical;4;Male;3;4;Sales Executive;3;Single;13872;0;0;13;3;3;80;0;38;1;2;37;10;1;8
FALSE;44;Non-Travel;Research & Development;23;3;Medical;2;Male;3;2;Laboratory Technician;2;Married;2042;4;0;12;3;3;80;1;17;3;4;3;2;1;2
TRUE;37;Travel_Rarely;Human Resources;6;4;Human Resources;3;Male;3;1;Human Resources;1;Divorced;2073;4;1;22;4;4;80;0;7;3;3;3;2;0;2
FALSE;32;Travel_Rarely;Research & Development;1;1;Life Sciences;4;Male;3;1;Research Scientist;1;Single;2956;1;0;13;3;4;80;0;1;2;3;1;0;0;0
TRUE;20;Travel_Frequently;Research & Development;6;3;Life Sciences;4;Female;2;1;Laboratory Technician;4;Single;2926;1;1;18;3;2;80;0;1;5;3;1;0;1;0
FALSE;34;Travel_Rarely;Research & Development;6;4;Other;1;Female;3;2;Research Scientist;3;Single;4809;1;0;14;3;3;80;0;16;3;3;16;13;2;10
FALSE;37;Non-Travel;Research & Development;2;2;Life Sciences;3;Male;2;2;Healthcare Representative;4;Divorced;5163;5;0;14;3;4;80;1;17;2;4;1;0;0;0
FALSE;59;Non-Travel;Human Resources;2;4;Human Resources;3;Female;2;5;Manager;4;Married;18844;9;0;21;4;4;80;1;30;3;3;3;2;2;2
FALSE;50;Travel_Frequently;Research & Development;1;3;Life Sciences;1;Female;3;5;Research Director;2;Married;18172;3;1;19;3;1;80;0;28;1;2;8;3;0;7
TRUE;25;Travel_Rarely;Sales;5;3;Marketing;3;Male;2;2;Sales Executive;3;Single;5744;1;1;11;3;4;80;0;6;1;3;6;4;0;3
FALSE;25;Travel_Rarely;Research & Development;7;1;Medical;4;Male;2;1;Research Scientist;4;Married;2889;1;0;11;3;3;80;1;2;2;3;2;2;2;1
FALSE;22;Travel_Rarely;Research & Development;15;3;Medical;2;Female;3;1;Laboratory Technician;4;Single;2871;1;0;15;3;3;80;0;1;5;3;0;0;0;0
FALSE;51;Travel_Frequently;Research & Development;1;4;Medical;1;Female;2;3;Healthcare Representative;1;Single;7484;3;0;20;4;3;80;0;23;1;2;13;12;12;8
TRUE;34;Travel_Frequently;Research & Development;7;3;Life Sciences;1;Male;1;2;Laboratory Technician;3;Single;6074;1;1;24;4;4;80;0;9;3;3;9;7;0;6
FALSE;54;Non-Travel;Human Resources;26;3;Human Resources;4;Female;4;4;Manager;4;Single;17328;2;1;12;3;3;80;0;23;3;3;5;3;4;4
FALSE;24;Travel_Rarely;Research & Development;18;1;Life Sciences;2;Male;3;1;Laboratory Technician;3;Married;2774;0;0;12;3;3;80;1;6;2;3;5;3;1;2
FALSE;34;Travel_Rarely;Research & Development;6;4;Life Sciences;3;Female;2;2;Research Scientist;2;Divorced;4505;6;0;15;3;3;80;1;12;3;3;1;0;0;0
FALSE;37;Travel_Rarely;Sales;3;3;Life Sciences;3;Male;3;3;Sales Executive;4;Single;7428;2;0;12;3;1;80;0;12;3;3;5;3;1;3
FALSE;34;Travel_Rarely;Research & Development;5;3;Medical;3;Female;2;3;Manager;1;Single;11631;2;0;12;3;4;80;0;14;6;3;11;10;5;8
FALSE;36;Travel_Frequently;Sales;11;2;Technical Degree;2;Female;3;3;Sales Executive;4;Married;9738;0;0;14;3;3;80;1;10;6;3;9;7;2;8
FALSE;36;Travel_Rarely;Research & Development;3;2;Life Sciences;1;Female;3;1;Laboratory Technician;4;Divorced;2835;5;0;22;4;1;80;1;7;2;3;1;0;0;0
FALSE;43;Travel_Frequently;Sales;26;2;Life Sciences;3;Male;3;4;Manager;4;Married;16959;1;1;12;3;4;80;1;25;3;4;25;12;4;12
FALSE;30;Travel_Frequently;Research & Development;23;3;Life Sciences;1;Male;1;1;Research Scientist;3;Divorced;2613;1;0;25;4;3;80;1;10;2;2;10;7;0;9
FALSE;33;Non-Travel;Sales;22;2;Marketing;3;Male;3;2;Sales Executive;2;Married;6146;0;0;13;3;1;80;1;8;2;4;7;7;0;7
TRUE;56;Travel_Rarely;Research & Development;14;4;Life Sciences;2;Female;3;1;Research Scientist;2;Married;4963;9;1;18;3;1;80;1;7;2;3;5;4;4;3
FALSE;51;Travel_Rarely;Research & Development;6;3;Life Sciences;1;Male;3;5;Research Director;3;Single;19537;7;0;13;3;3;80;0;23;5;3;20;18;15;15
TRUE;31;Travel_Rarely;Sales;6;4;Life Sciences;2;Male;1;2;Sales Executive;3;Married;6172;4;1;18;3;2;80;0;12;3;2;7;7;7;7
FALSE;26;Travel_Rarely;Research & Development;6;3;Other;3;Female;2;1;Research Scientist;2;Married;2368;1;0;19;3;3;80;0;5;3;2;5;4;4;3
TRUE;58;Travel_Rarely;Research & Development;23;4;Medical;4;Female;3;3;Healthcare Representative;4;Married;10312;1;0;12;3;4;80;1;40;3;2;40;10;15;6
TRUE;19;Travel_Rarely;Sales;22;1;Marketing;4;Male;3;1;Sales Representative;3;Single;1675;1;1;19;3;4;80;0;0;2;2;0;0;0;0
FALSE;22;Travel_Rarely;Research & Development;2;1;Technical Degree;3;Male;3;1;Laboratory Technician;4;Married;2523;0;0;14;3;3;80;1;3;2;3;2;1;2;1
FALSE;49;Travel_Rarely;Research & Development;20;4;Medical;3;Female;3;2;Manufacturing Director;1;Married;6567;1;0;14;3;3;80;0;16;2;2;15;11;5;11
FALSE;43;Travel_Frequently;Research & Development;28;3;Medical;2;Female;4;1;Research Scientist;3;Single;4739;4;0;12;3;4;80;0;18;2;3;3;2;1;2
FALSE;50;Travel_Frequently;Sales;12;3;Marketing;3;Female;3;3;Sales Executive;4;Single;9208;4;0;11;3;4;80;0;16;3;3;2;2;2;1
TRUE;31;Travel_Rarely;Sales;20;3;Life Sciences;2;Female;1;2;Sales Executive;3;Married;4559;3;1;11;3;3;80;1;4;2;3;2;2;2;2
FALSE;41;Travel_Rarely;Sales;9;1;Life Sciences;3;Male;3;3;Sales Executive;3;Divorced;8189;3;1;13;3;3;80;1;12;2;3;9;7;0;7
FALSE;26;Travel_Rarely;Human Resources;25;1;Life Sciences;3;Female;3;1;Human Resources;3;Married;2942;1;0;23;4;4;80;1;8;3;3;8;7;5;7
FALSE;36;Travel_Rarely;Research & Development;6;2;Medical;2;Male;3;2;Manufacturing Director;2;Divorced;4941;6;0;20;4;4;80;1;7;0;3;3;2;0;1
TRUE;51;Travel_Frequently;Research & Development;8;4;Life Sciences;1;Male;1;3;Manufacturing Director;4;Single;10650;2;0;15;3;4;80;0;18;2;3;4;2;0;3
FALSE;39;Travel_Rarely;Sales;4;4;Life Sciences;4;Female;2;2;Sales Executive;3;Married;5902;4;0;14;3;3;80;1;17;1;4;15;11;5;9
FALSE;25;Travel_Rarely;Sales;28;3;Life Sciences;1;Male;2;2;Sales Executive;3;Married;8639;2;0;18;3;4;80;0;6;3;3;2;2;2;2
FALSE;30;Travel_Rarely;Human Resources;9;3;Human Resources;3;Male;3;2;Human Resources;4;Married;6347;0;1;19;3;4;80;0;12;2;1;11;9;4;7
TRUE;32;Travel_Rarely;Research & Development;9;3;Medical;1;Female;3;1;Laboratory Technician;1;Single;4200;7;0;22;4;1;80;0;10;2;4;5;4;0;4
FALSE;45;Travel_Rarely;Research & Development;29;3;Medical;3;Male;3;1;Research Scientist;4;Single;3452;5;0;13;3;2;80;0;9;2;2;6;5;0;3
FALSE;38;Travel_Rarely;Research & Development;3;5;Technical Degree;4;Female;3;2;Research Scientist;3;Single;4317;3;1;20;4;2;80;0;19;2;3;3;2;2;2
FALSE;30;Travel_Rarely;Research & Development;18;3;Life Sciences;1;Female;3;1;Research Scientist;3;Single;2632;1;0;14;3;3;80;0;5;4;2;5;4;0;4
FALSE;32;Travel_Frequently;Sales;9;2;Medical;4;Male;1;2;Sales Executive;4;Divorced;4668;0;0;17;3;4;80;1;9;2;4;8;7;0;7
FALSE;30;Travel_Rarely;Research & Development;5;3;Technical Degree;4;Female;3;1;Research Scientist;1;Divorced;3204;5;0;14;3;4;80;1;8;3;3;3;2;2;2
FALSE;30;Travel_Rarely;Research & Development;2;1;Medical;2;Male;2;1;Laboratory Technician;4;Single;2720;0;0;13;3;4;80;0;6;3;3;5;3;1;2
FALSE;41;Travel_Frequently;Research & Development;10;3;Life Sciences;4;Male;2;4;Manager;1;Divorced;17181;4;0;13;3;2;80;1;21;2;2;7;6;7;7
FALSE;41;Travel_Rarely;Research & Development;9;4;Life Sciences;3;Male;3;1;Laboratory Technician;1;Married;2238;2;0;21;4;4;80;1;7;2;3;5;0;1;4
FALSE;19;Travel_Rarely;Research & Development;3;1;Medical;2;Female;3;1;Laboratory Technician;2;Single;1483;1;0;14;3;4;80;0;1;3;3;1;0;0;0
FALSE;40;Travel_Frequently;Research & Development;26;3;Medical;2;Female;3;2;Research Scientist;2;Divorced;5605;1;0;11;3;1;80;1;20;2;3;20;7;2;13
FALSE;35;Travel_Rarely;Sales;1;5;Marketing;3;Male;3;3;Sales Executive;2;Married;7295;1;0;13;3;1;80;1;10;3;3;10;8;0;6
FALSE;53;Travel_Rarely;Sales;6;2;Marketing;2;Male;3;2;Sales Representative;3;Married;2306;2;1;20;4;4;80;1;13;3;1;7;7;4;5
FALSE;45;Travel_Rarely;Research & Development;9;3;Life Sciences;2;Male;3;2;Laboratory Technician;2;Divorced;2348;8;0;18;3;3;80;1;20;2;1;17;9;0;15
FALSE;32;Travel_Frequently;Sales;8;3;Marketing;2;Female;3;3;Sales Executive;4;Single;8998;1;0;14;3;4;80;0;9;2;3;9;8;3;7
FALSE;29;Non-Travel;Research & Development;1;1;Technical Degree;4;Male;3;2;Manufacturing Director;3;Married;4319;1;0;13;3;1;80;1;10;1;3;10;7;0;9
FALSE;51;Travel_Rarely;Research & Development;7;4;Medical;2;Male;2;2;Manufacturing Director;3;Married;6132;2;0;17;3;3;80;0;10;2;3;1;0;0;0
FALSE;58;Travel_Rarely;Research & Development;9;3;Medical;2;Female;2;1;Research Scientist;2;Married;3346;4;1;20;4;2;80;1;9;3;2;1;0;0;0
FALSE;40;Travel_Rarely;Sales;4;4;Marketing;3;Male;2;3;Sales Executive;4;Married;10855;7;0;11;3;1;80;1;15;2;2;12;11;2;11
FALSE;34;Travel_Frequently;Sales;2;4;Marketing;3;Female;3;1;Sales Representative;3;Married;2231;6;0;18;3;4;80;1;6;3;3;4;3;1;2
FALSE;22;Travel_Rarely;Research & Development;19;1;Medical;3;Male;3;1;Research Scientist;4;Married;2323;1;0;24;4;1;80;1;2;6;3;2;2;2;2
